"DisplayName","Email","Department","LicenseStatus","LicenseCount"
"Alex Johnson","alex.johnson@KAGSecOps.onmicrosoft.com","IT","Unlicensed","0"
"aman kag","amankag@KAGSecOps.onmicrosoft.com","IT","Licensed","1"
"Chris Lee","chris.lee@KAGSecOps.onmicrosoft.com","Sales","Unlicensed","0"
"David Brown","david.brown@KAGSecOps.onmicrosoft.com","IT","Unlicensed","0"
"Emma Williams","emma.williams@KAGSecOps.onmicrosoft.com","HR","Unlicensed","0"
"James Miller","james.miller@KAGSecOps.onmicrosoft.com","Sales","Unlicensed","0"
"John Smith","john.smith@KAGSecOps.onmicrosoft.com","IT","Unlicensed","0"
"Kevin Nguyen","kevin.nguyen@KAGSecOps.onmicrosoft.com","Engineering","Unlicensed","0"
"Lisa Anderson","lisa.anderson@KAGSecOps.onmicrosoft.com","Marketing","Unlicensed","0"
"Maya Patel","maya.patel@KAGSecOps.onmicrosoft.com","HR","Unlicensed","0"
"Michelle Taylor","michelle.taylor@KAGSecOps.onmicrosoft.com","Legal","Unlicensed","0"
"Priya Sharma","priya.sharma@KAGSecOps.onmicrosoft.com","Analytics","Unlicensed","0"
"Raj Patel","raj.patel@KAGSecOps.onmicrosoft.com","Engineering","Unlicensed","0"
"Sarah Chen","sarah.chen@KAGSecOps.onmicrosoft.com","Finance","Unlicensed","0"
"Sophie Martin","sophie.martin@KAGSecOps.onmicrosoft.com","Operations","Unlicensed","0"
"Tom Wilson","tom.wilson@KAGSecOps.onmicrosoft.com","Operations","Unlicensed","0"
