"DisplayName","Email","Department","JobTitle","MFAStatus","AuthMethodsCount"
"Alex Johnson","alex.johnson@KAGSecOps.onmicrosoft.com","IT","IT Support Analyst","Enabled","2"
"aman kag","amankag@KAGSecOps.onmicrosoft.com","IT",,"Enabled","2"
"Carlos Rivera","carlos.rivera@KAGSecOps.onmicrosoft.com","Finance","Finance Analyst","Not Registered","1"
"Chris Lee","chris.lee@KAGSecOps.onmicrosoft.com","Sales","Sales Manager","Not Registered","1"
"David Brown","david.brown@KAGSecOps.onmicrosoft.com","IT","Network Engineer","Enabled","2"
"Emma Williams","emma.williams@KAGSecOps.onmicrosoft.com","HR","HR Business Partner","Enabled","2"
"James Miller","james.miller@KAGSecOps.onmicrosoft.com","Sales","Sales Executive","Not Registered","1"
"John Smith","john.smith@KAGSecOps.onmicrosoft.com","IT","Support Engineer","Not Registered","1"
"Kevin Nguyen","kevin.nguyen@KAGSecOps.onmicrosoft.com","Engineering","Cloud Architect","Not Registered","1"
"Lisa Anderson","lisa.anderson@KAGSecOps.onmicrosoft.com","Marketing","Marketing Specialist","Not Registered","1"
"Maya Patel","maya.patel@KAGSecOps.onmicrosoft.com","HR","HR Coordinator","Not Registered","1"
"Michelle Taylor","michelle.taylor@KAGSecOps.onmicrosoft.com","Legal","Compliance Officer","Enabled","2"
"Nina Patel","nina.patel@KAGSecOps.onmicrosoft.com","IT","Cloud Engineer","Not Registered","1"
"Priya Sharma","priya.sharma@KAGSecOps.onmicrosoft.com","Analytics","Data Analyst","Not Registered","1"
"Raj Patel","raj.patel@KAGSecOps.onmicrosoft.com","Engineering","Software Engineer","Not Registered","1"
"Sarah Chen","sarah.chen@KAGSecOps.onmicrosoft.com","Finance","Finance Manager","Enabled","2"
"Sophie Martin","sophie.martin@KAGSecOps.onmicrosoft.com","Operations","Project Manager","Not Registered","1"
"Tom Wilson","tom.wilson@KAGSecOps.onmicrosoft.com","Operations","Operations Manager","Not Registered","1"
